序号,学校,类别,地址,邮编,电话
1,上海市浦东新区听潮艺术幼儿园,公办幼儿园,"北园：惠南镇城西路300号
南园：惠南镇城西路185号
香桂部：康锦路175号",201300,"58022345
58022345
/"
2,上海市浦东新区东蕾幼儿园,公办幼儿园,"凌河路420弄49号
金鹏部：五莲路780弄91号
博兴部：东陆路1182弄80号",201206,"68957774
50258399
68513601"
3,上海市浦东新区蒲公英幼儿园,公办幼儿园,"金桥湾部：长岛路1280弄71号
欧洲城部：佳京路125号
彩虹岛部：胶东路766号","200129
201206
200129","38420405
50551166
38420999＊618"
4,上海市浦东新区潼江幼儿园,公办幼儿园,"潼江部:高桥潼港二村10号
高桥新村部:高桥一村13号
港城部:同港路25号",200137,"58618211
58616220
58618211"
5,上海市浦东新区东沟幼儿园,公办幼儿园,"浦煤新村31号
东靖部:东沟二村甲14号
新行部:新行路418号","200129
200129
201208","68466388
68462392
68978607"
6,上海市浦东新区金童幼儿园,公办幼儿园,"金杨路273弄25号
金杨新村685弄内
东波路567号",200135,50500617
7,上海市浦东新区东昌幼儿园,公办幼儿园,"小石桥路69号
御桥路2066弄28号
民生路999弄38号",200120,50136501
8,上海市浦东新区金囡幼儿园,公办幼儿园,"苗圃路470号
博山东路710号",200135,38820214
9,上海市浦东新区百灵鸟幼儿园,公办幼儿园,"灵山路1415弄93号
崮山路阳光三村3号",200135,38760076
10,上海市浦东新区冰厂田幼儿园,公办幼儿园,"黑松路201号
商城路1177弄11号
商城路1178弄38号
浦东南路2227号
云山路1268弄",200135,50308237
11,上海市浦东新区东方幼儿园,公办幼儿园,"紫槐路30号
商城路1028弄36号
沈家弄路900弄32号
锦绣路50号
丁香路911号",200135,50333996
12,上海市浦东新区西门幼儿园,公办幼儿园,"妙境路421号
川沙路4586弄21号
广厦路33号",201200,58989822
13,上海市浦东新区园西幼儿园,公办幼儿园,"临园路36号
川沙路5122弄58号
妙境路340号",201200,58926628
14,上海市浦东新区六一幼儿园,公办幼儿园,"海桐路151号
芳草路561号
龙阳路1822弄2号",201204,50595561
15,上海市浦东新区南门幼儿园,公办幼儿园,"华夏二路828号
城南路380弄3号
华夏东路2110弄40号
益江路385号","201200
/
/
201203","58374322
/
/
/"
16,上海市浦东新区浦南幼儿园,公办幼儿园,"灵山路609号
王家宅62号
东绣路568号
东明路600弄25号","200135
200122
201204
200126","50819260
/
/
/"
17,上海市浦东新区上钢新村幼儿园,公办幼儿园,"（三村部）历城路20弄2号
（小班部）昌里路290号
（海贝部）昌里东路80弄62号","200126
200127
200128",68701244
18,上海市浦东新区云台幼儿园,公办幼儿园,"（总部）昌里东路190弄9号
（云天部）昌里东路320弄33号
（云海部）华绣路67号",200125,"68701608
50774065
/"
19,上海市浦东新区小天鹅幼儿园,公办幼儿园,"（凌兆总校区）凌兆路531弄68号
（上浦南部校区）上浦路510弄34号
（上浦北部校区）上浦路505弄15号",200124,"50630297
68301598
50847868"
20,上海市浦东新区临沂八村幼儿园,公办幼儿园,"（总部）临沂路81弄71号
（绿舟部）东方路2993弄33号
（金谊部）云台路2290号","200125
200125
200123","58755691
50390318
38870495"
21,上海市浦东新区东南幼儿园,公办幼儿园,"（总部）周浦镇东南一村27号
（圣鑫部）周浦镇周东路782弄43号",201318,"58113343
20925183"
22,上海市浦东新区童乐幼儿园,公办幼儿园,柳埠路135弄24号,200129,58464779
23,上海市浦东新区东陆幼儿园,公办幼儿园,巨峰路90弄99号,201206,38420299
24,上海市浦东新区星雨幼儿园,公办幼儿园,总部：利津路185弄35号,200129,68610232
25,上海市浦东新区好时光幼儿园,公办幼儿园,曹路镇民雷路689号,201209,68682918
26,上海市浦东新区好日子幼儿园,公办幼儿园,曹路镇民春路75号,201209,68683041
27,上海市浦东新区莱阳幼儿园,公办幼儿园,"五莲路100弄23号
沪东新村分部:沪东新村350号",200129,"38710899
38710339"
28,上海市浦东新区东波幼儿园,公办幼儿园,东波路195弄88号,200129,68468698
29,上海市浦东新区金钥匙幼儿园,公办幼儿园,"金桥路351弄36号
金东名苑部：金杨路1059弄100号","200129
201206","50381073
50329986"
30,上海市浦东新区金新幼儿园,公办幼儿园,"东陆路1456弄55号
花园部:长岛路1560弄26号",201206,68951515
31,上海市浦东新区东荷幼儿园,公办幼儿园,"东陆路1018弄107号
利津部:莱阳路806号","201206
200129","38420063
68689317"
32,上海市浦东新区星韵幼儿园,公办幼儿园,双桥路300弄1号,201208,58656245
33,上海市浦东新区高南幼儿园,公办幼儿园,莱阳路3380号,200137,58672887
34,上海市浦东新区华高幼儿园,公办幼儿园,"华高一村132号
东部：双桥路1327号",201208,68972558
35,上海市浦东新区顾路幼儿园,公办幼儿园,"顾路部：顾曹路591号
安基部：曹路镇安基村
海鹏部：海鹏路325号",201209,"68723652
58633252
50587828"
36,上海市浦东新区龚路幼儿园,公办幼儿园,"曹路龚华路265号
分部：龚路新西街30号",201209,"58566383
58560794"
37,上海市浦东新区金桥幼儿园,公办幼儿园,"张桥永宁路111号
金桥路2688号",201206,58998533
38,上海市浦东新区东园幼儿园,公办幼儿园,"东园一村136号
商城路1433号",200120,58213753
39,上海市浦东新区福山幼儿园,公办幼儿园,"福山路40弄11号
乳山路138弄9号",200120,58305210
40,上海市浦东新区阳光幼儿园,公办幼儿园,金口路471弄26号,200135,50500078
41,上海市浦东新区博山幼儿园,公办幼儿园,"博山路50弄87号
博山路51弄39号",200135,38821881
42,上海市浦东新区蓝贝壳幼儿园,公办幼儿园,"德平路1066弄70号
张扬路1734弄22号",200135,50703528
43,上海市浦东新区金科苑幼儿园,公办幼儿园,"金杨路220弄62号
灵山路2011弄30号",200135,50707996
44,上海市浦东新区明珠幼儿园,公办幼儿园,"枣庄路210弄38号
博山东路553弄30号",200129,68500688
45,上海市浦东新区香山幼儿园,公办幼儿园,德平路1189弄29号,200136,38760888
46,上海市浦东新区小螺号幼儿园,公办幼儿园,"博山东路81弄26号
博山东路459弄24号
巨野路680号",200135,38820305
47,上海市浦东新区巨野幼儿园,公办幼儿园,"巨野路80弄7号
浦东大道1700弄28号",200135,68620604
48,上海市浦东新区合庆幼儿园,公办幼儿园,合庆镇庆利路58号,201201,58971728
49,上海市浦东新区大团幼儿园,公办幼儿园,大团镇永春西一路190号,201311,58081149
